0,0,0,0
37,-1,0,-1
0,0,0,0
0,1,0,1
0,0,0,0
0,0,0,0
0,0,0,0
34,0,4,0
0,0,0,0
0,0,0,0
0,0,0,0
35,0,3,0
0,0,0,0
0,0,0,0
0,1,0,1
38,-1,0,-1
0,3,0,2
0,0,0,0
29,2,9,-2
0,0,0,0
0,2,0,2
0,1,0,0
37,-2,1,-2
0,0,0,0
0,0,0,0
0,0,0,0
37,0,1,0
0,0,0,0
37,0,1,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
35,0,3,0
0,0,0,0
0,3,0,2
0,0,0,0
37,-2,1,-2
0,0,0,0
0,3,0,1
37,-2,1,-2
0,0,0,0
0,1,0,1
0,0,0,0
38,-3,0,-3
0,3,0,1
0,3,0,2
33,0,5,-3
0,0,0,0
0,4,0,3
0,0,0,0
37,-1,1,-2
0,1,0,1
0,1,0,0
0,1,0,1
0,1,0,0
0,0,0,0
37,0,1,-1
0,1,0,1
0,3,0,1
0,1,0,1
38,-1,0,-2
0,0,0,0
0,0,0,0
37,1,1,-1
0,1,0,0
0,1,0,1
0,33,0,23
0,0,0,0
36,-23,2,-23
0,2,0,0
0,5,0,3
0,1,0,1
37,-5,1,-5
0,1,0,1
0,0,0,0
0,14,0,9
37,-9,1,-9
0,0,0,0
0,2,0,2
35,-3,3,-3
0,0,0,0
0,1,0,1
0,2,0,0
0,1,0,1
36,-1,2,-2
0,4,0,1
0,1,0,1
0,0,0,0
37,-1,1,-1
0,1,0,0
38,-1,0,-1
0,1,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
38,0,1,0
0,0,0,0
38,-1,1,-2
0,2,0,1
0,1,0,1
34,-1,5,-2
0,1,0,1
0,1,0,1
0,0,0,0
0,0,0,0
37,0,2,0
0,0,0,0
0,1,0,0
0,4,0,4
0,0,0,0
0,1,0,1
38,-5,1,-5
0,0,0,0
0,4,0,1
0,1,0,1
39,-2,0,-2
0,6,0,4
0,1,0,1
39,-4,0,-5
0,1,0,0
39,-5,9,-5
0,0,0,0
0,6,0,5
0,1,0,0
0,0,0,0
0,0,0,0
39,2,0,-1
0,1,0,1
